Question---Product ID,Question Category,,
Is there a protection plan? ---645876604,Included Warranty,,
Is there a protection plan? ---645876604,Included Warranty,,
Is there a protection plan? What colors does this come in? ---645876604,Included Warranty,,
is there factory warrantee? ---645876604,Included Warranty,,
warranty ---316269243,Included Warranty,,
what is the warranty? ---645876604,Included Warranty,,
What is the warranty? ---863467928,Included Warranty,,
apple ipad pro availability ---354993710,item availiblity,,
Can you tell me if this item is available to purchase and pick up at my local store? ---643148200,item availiblity,,
"Hi is this still available""? ---385211636",item availiblity,,
Is Apple Watch series 7 still available ---728333046,item availiblity,,
Is Apple Watch series 7 still available in midnight cannot add to cart ---728333046,item availiblity,,
is this item actually available ---354993710,item availiblity,,
This watch isn;t available at any Walmart I can find. Can I have it shipped to me? ---728333046,item availiblity,,
when is product back in store ---774697337,item availiblity,,
Can I order an IPAD pro and have it delivered ---915714715,Other Apple Services ,,
dimensions ---645876604,Overall size,,
What are dimensions of the watch ---645876604,Overall size,,
what size is the watch ---645876604,Overall size,,
battery life? ---126276053,Performance,,
Can I customize the watch face? ---645876604,Performance,,
Can I swim with it? ---645876604,Performance,,
can it get wet ---645876604,Performance,,
Does Apple Watch connect to Wi-Fi? ---645876604,Performance,,
does it connect to my airpods? ---645876604,Performance,,
does it connect to my icloud account ---645876604,Performance,,
does it detect falls ---645876604,Performance,,
does it detect heart rate? ---792968586,Performance,,
does it have a heart monitor ---643148200,Performance,,
does it have a heart monitor? ---336891071,Performance,,
Does it have a heart monitor? ---645876604,Performance,,
Does it track fitness activities? ---645876604,Performance,,
does it track heart rate? ---994305917,Performance,,
Does it track my sleep? ---645876604,Performance,,
Does it track swimming? ---645876604,Performance,,
How long does it take to charge ---645876604,Performance,,
How long does it take to charge? ---645876604,Performance,,
How long does it take to charge? ---645876604,Performance,,
how long does the battery last ---645876604,Performance,,
how long does the battery last? ---336891071,Performance,,
How long is battery life? ---645876604,Performance,,
How long is the battery life of an Apple Watch? ---645876604,Performance,,
How long will the battery last between charges? ---645876604,Performance,,
How much is storage? ---645876604,Performance,,
How much memory ---645876604,Performance,,
Is it waterproof? ---645876604,Performance,,
Is the watch waterproof? ---645876604,Performance,,
is this watch water resistant? ---336891071,Performance,,
is this watch waterproof ---645876604,Performance,,
What bluetooth headphones can I use with Apple Watch ---645876604,Performance,,
what is the battery life? ---645876604,Performance,,
Will the Apple Watch measure my heart rate? ---645876604,Performance,,
how big is the memory ---643148200,Performance/Storage/Other,,
how long does the battery last ---994305917,Performance/Storage/Other,,
how much does it weigh ---184152329,Performance/Storage/Other,,
how much memory does it have ? ---774697337,Performance/Storage/Other,,
what is battery life? ---774697337,Performance/Storage/Other,,
what is product weight ? ---774697337,Performance/Storage/Other,,
Will this work with a smart keyboard? ---184152329,Peripherals,,
how long is the warranty? ---184152329,Price/Support/Coverage,,
how long is the warranty? ---184152329,Price/Support/Coverage,,
can it detect car crash ---645876604,Safety Detection,,
car crash ---645876604,Safety Detection,,
Does it have crash detection? ---645876604,Safety Detection,,
display size ---457945189,Screen,,
What does always onn retina mean?---645876604,Screen,,
What does always onn retina mean?---645876604,Screen,,
What does always onn retina mean?---645876604,Screen,,
What does always onn retina mean?---645876604,Screen,,
What does always onn retina mean?---645876604,Screen,,
what is screen size? ---774697337,Screen,,
what is the screen resolution ---643148200,Screen,,
what's the screen resolution? ---184152329,Screen,,
what is screen size ? ---792968586,screen size,,
what are the dimensions ---184152329,Size/Dimensions,,
what is product dimensions ? ---774697337,Size/Dimensions,,
will it fit my wrist? ---336891071,Size/Dimensions,,
How much is stroage? ---645876604,Storage,,
what is band material ? ---792968586,Watch band,,
What material is the watch strap? ---645876604,watch band,,
how heavy is it ---336891071,weight,,
How heavy is the Apple Watch? ---645876604,weight,,
how heavy is this watch? ---645876604,weight,,
how much does it weigh ---336891071,weight,,
how much does it weigh? ---336891071,weight,,
How much does the Apple Watch weigh? ---645876604,weight,,
product weight? ---645876604,weight,,
what is the weight of the watch ---645876604,weight,,
what's the weight ---336891071,weight,,
